location,age,max(total_cases),max(total_deaths),survival
Afghanistan,18.60000,183265,7728,95.7831555397921
Albania,38.00000,287984,3514,98.77979332185122
Algeria,29.10000,266257,6875,97.41790826156684
Andorra,"",44671,155,99.6530187369882
Angola,16.80000,101320,1900,98.1247532570075
Anguilla,"",3476,9,99.74108170310701
Antigua and Barbuda,32.10000,8686,143,98.35367257655999
Argentina,31.90000,9426171,129145,98.62993149604436
Armenia,35.70000,423417,8629,97.96205631800329
Aruba,41.20000,41448,271,99.34616869330245
Australia,37.90000,8516847,10326,99.87875794880429
Austria,44.40000,4542028,20099,99.55748841706831
Azerbaijan,32.40000,793388,9717,98.77525246159509
Bahamas,34.30000,36245,822,97.73210097944543
Bahrain,32.40000,639455,1498,99.76573801127523
Bangladesh,27.50000,1989854,29200,98.53255565483698
Barbados,39.80000,86010,478,99.4442506685269
Belarus,40.30000,994037,7118,99.28393007503745
Belgium,41.80000,4294880,31977,99.25546231792273
Belize,25.00000,64948,680,98.95300856069471
Benin,18.80000,27216,163,99.40108759553205
Bermuda,"",16401,140,99.14639351259069
Bhutan,28.60000,59824,21,99.96489703129178
Bolivia,25.40000,944286,21969,97.6734802803388
Bonaire Sint Eustatius and Saba,"",10523,37,99.64838924261143
Bosnia and Herzegovina,42.50000,379563,15809,95.83494703119113
Botswana,25.80000,324154,2753,99.15071231575115
Brazil,33.50000,32896464,673610,97.95233311397845
British Virgin Islands,"",7131,63,99.11653344551956
Brunei,32.40000,172280,225,99.869398653355
Bulgaria,44.70000,1178189,37272,96.83650076515737
Burkina Faso,17.60000,21044,387,98.16099600836343
Burundi,17.50000,42836,38,99.91128956952096
Cambodia,25.60000,136359,3056,97.7588571344759
Cameroon,18.80000,120068,1931,98.3917446780158
Canada,41.40000,3979420,42180,98.94004653944545
Cape Verde,25.70000,61623,409,99.33628677604142
Cayman Islands,"",27594,29,99.89490468942523
Central African Republic,18.30000,14675,113,99.22998296422487
Chad,16.70000,7426,193,97.40102343118771
Chile,35.40000,4084308,58818,98.55990292602812
China,38.70000,892630,5226,99.41453905873654
Colombia,32.20000,6198848,140202,97.73825717294568
Comoros,20.40000,8161,161,98.02720254870727
Congo,19.00000,24421,386,98.41939314524384
Cook Islands,"",5794,1,99.98274076630997
Costa Rica,33.60000,904934,8525,99.05794234717669
Cote d'Ivoire,18.70000,84079,805,99.04256710950415
Croatia,44.00000,1159177,16107,98.61047967652912
Cuba,43.10000,1106422,8529,99.2291368031366
Curacao,41.70000,44662,278,99.3775469078859
Cyprus,37.30000,530510,1079,99.79661080846732
Czechia,43.30000,3941752,40332,98.97680016398799
Democratic Republic of Congo,17.00000,91393,1375,98.49550840874028
Denmark,42.30000,3188252,6510,99.79581287802847
Djibouti,25.40000,15690,189,98.79541108986616
Dominica,"",14852,68,99.54214920549421
Dominican Republic,27.60000,616024,4383,99.2885017466852
Ecuador,28.10000,918479,35749,96.1078043156131
Egypt,25.30000,515645,24724,95.20522840326193
El Salvador,27.60000,180970,4160,97.70127645466098
Equatorial Guinea,22.40000,16383,183,98.88298846365134
Eritrea,19.30000,9824,103,98.95154723127035
Estonia,42.70000,581560,2599,99.55309856248711
Eswatini,21.50000,73215,1417,98.06460424776343
Ethiopia,19.80000,490370,7552,98.45993841385076
Faeroe Islands,"",34658,28,99.91921057187373
Falkland Islands,"",1831,"",""
Fiji,28.60000,66126,866,98.69037897347488
Finland,42.80000,1158485,4941,99.57349469350056
France,42.00000,32176376,150086,99.5335521936964
French Polynesia,32.70000,73574,649,99.11789490852748
Gabon,23.10000,48157,305,99.36665489959923
Gambia,17.50000,12009,365,96.96061287367807
Georgia,38.70000,1662299,16844,98.9867045579646
Germany,46.60000,29025760,141870,99.51122726846774
Ghana,21.10000,166816,1453,99.12898043353155
Gibraltar,"",19796,105,99.46958981612447
Greece,45.30000,3843142,30476,99.20700301992484
Greenland,"",11971,21,99.82457605880879
Grenada,29.40000,18560,233,98.74461206896552
Guatemala,22.90000,947472,18715,98.02474373912897
Guinea,19.00000,37358,443,98.81417634777023
Guinea-Bissau,19.40000,8400,171,97.96428571428571
Guyana,26.30000,68194,1262,98.14939730768103
Haiti,24.30000,31767,876,97.24242138067805
Honduras,24.90000,429408,10971,97.4450871898055
Hong Kong,44.80000,1271054,9412,99.25951218437612
Hungary,43.40000,1932788,46661,97.5858190344725
Iceland,37.30000,197707,179,99.90946198161926
India,28.20000,43639329,525454,98.79591640833891
Indonesia,29.30000,6111305,156791,97.43441049006718
Iran,32.40000,7249976,141439,98.04911078326329
Iraq,20.00000,2385477,25254,98.94134380671036
Ireland,38.70000,1614631,7536,99.53326797268231
Isle of Man,"",36998,110,99.70268663170982
Israel,30.60000,4449647,11068,99.7512611674589
Italy,47.90000,19439501,169106,99.13009083926589
Jamaica,31.40000,143982,3157,97.80736480949007
Japan,48.20000,9693879,31428,99.6757954168811
Jordan,23.20000,1700526,14068,99.17272655637139
Kazakhstan,30.60000,1398718,19018,98.6403263559917
Kenya,20.00000,335861,5667,98.3126948350657
Kiribati,23.20000,3236,13,99.5982694684796
Kuwait,33.70000,648216,2556,99.60568699322448
Kyrgyzstan,26.30000,201131,2991,98.51290949679561
Laos,24.40000,210366,757,99.64015097496744
Latvia,43.90000,839846,5869,99.30118140706749
Lebanon,31.10000,1125720,10477,99.06930675478804
Lesotho,22.20000,33938,699,97.9403618362897
Liberia,19.20000,7500,294,96.08
Libya,29.00000,502189,6430,98.71960556682843
Liechtenstein,"",18141,85,99.53144810098672
Lithuania,43.50000,1165053,9178,99.21222467990727
Luxembourg,39.70000,270130,1097,99.59389923370229
Macao,39.20000,621,2,99.6779388083736
Madagascar,19.60000,66098,1403,97.87739417228963
Malawi,18.10000,86741,2648,96.94723371877197
Malaysia,29.90000,4595974,35811,99.22081804640322
Maldives,30.60000,182720,306,99.83253064798599
Mali,16.40000,31187,737,97.63683586109597
Malta,42.40000,108688,759,99.30167083762697
Marshall Islands,"",47,"",""
Mauritania,20.30000,61234,986,98.38978345363687
Mauritius,37.40000,231036,1008,99.56370435776243
Mexico,29.30000,6259325,326085,94.79041270424527
Micronesia (country),23.00000,38,"",""
Moldova,37.60000,521182,11570,97.78004612592146
Monaco,"",13480,59,99.56231454005935
Mongolia,28.60000,929653,2119,99.7720654911026
Montenegro,39.10000,243476,2729,98.8791503063957
Montserrat,"",1023,8,99.21798631476051
Morocco,29.60000,1241967,16156,98.69916028364682
Mozambique,17.70000,228677,2214,99.03182217713193
Myanmar,29.10000,613736,19434,96.83349192486672
Namibia,22.00000,169253,4065,97.59827004543494
Nepal,25.00000,980317,11952,98.78080253632243
Netherlands,43.20000,8241580,22491,99.72710329815399
New Caledonia,33.40000,65407,313,99.52145794792607
New Zealand,37.90000,1438599,1628,99.88683434369132
Nicaragua,27.30000,14721,243,98.3492969227634
Niger,15.10000,9031,310,96.56737902779315
Nigeria,18.10000,258517,3148,98.78228511084377
North Korea,35.30000,1,6,-500.0
North Macedonia,39.10000,315699,9331,97.04433653575083
Norway,39.70000,1450730,3415,99.7646012697056
Oman,30.70000,391641,4628,98.81830554002262
Pakistan,23.50000,1543250,30423,98.02864085533776
Palau,"",5269,6,99.88612639969634
Palestine,20.40000,662490,5662,99.14534559012212
Panama,29.70000,932710,8384,99.10111395825069
Papua New Guinea,22.60000,44745,662,98.52050508436697
Paraguay,26.50000,673829,19036,97.17495091484635
Peru,29.10000,3675152,213685,94.18568266020017
Philippines,25.20000,3718467,60640,98.36922043411977
Poland,41.80000,6022227,116453,98.06628013191798
Portugal,46.20000,5242121,24291,99.53661886095342
Qatar,31.90000,388849,680,99.82512491995608
Romania,43.00000,2927187,65755,97.75364539402504
