location,age,survival
Afghanistan,18.60000,95.7831555397921
Albania,38.00000,98.77979332185122
Algeria,29.10000,97.41790826156684
Andorra,"",99.6530187369882
Angola,16.80000,98.1247532570075
Anguilla,"",99.74108170310701
Antigua and Barbuda,32.10000,98.35367257655999
Argentina,31.90000,98.62993149604436
Armenia,35.70000,97.96205631800329
Aruba,41.20000,99.34616869330245
Australia,37.90000,99.87875794880429
Austria,44.40000,99.55748841706831
Azerbaijan,32.40000,98.77525246159509
Bahamas,34.30000,97.73210097944543
Bahrain,32.40000,99.76573801127523
Bangladesh,27.50000,98.53255565483698
Barbados,39.80000,99.4442506685269
Belarus,40.30000,99.28393007503745
Belgium,41.80000,99.25546231792273
Belize,25.00000,98.95300856069471
Benin,18.80000,99.40108759553205
Bermuda,"",99.14639351259069
Bhutan,28.60000,99.96489703129178
Bolivia,25.40000,97.6734802803388
Bonaire Sint Eustatius and Saba,"",99.64838924261143
Bosnia and Herzegovina,42.50000,95.83494703119113
Botswana,25.80000,99.15071231575115
Brazil,33.50000,97.95233311397845
British Virgin Islands,"",99.11653344551956
Brunei,32.40000,99.869398653355
Bulgaria,44.70000,96.83650076515737
Burkina Faso,17.60000,98.16099600836343
Burundi,17.50000,99.91128956952096
Cambodia,25.60000,97.7588571344759
Cameroon,18.80000,98.3917446780158
Canada,41.40000,98.94004653944545
Cape Verde,25.70000,99.33628677604142
Cayman Islands,"",99.89490468942523
Central African Republic,18.30000,99.22998296422487
Chad,16.70000,97.40102343118771
Chile,35.40000,98.55990292602812
China,38.70000,99.41453905873654
Colombia,32.20000,97.73825717294568
Comoros,20.40000,98.02720254870727
Congo,19.00000,98.41939314524384
Cook Islands,"",99.98274076630997
Costa Rica,33.60000,99.05794234717669
Cote d'Ivoire,18.70000,99.04256710950415
Croatia,44.00000,98.61047967652912
Cuba,43.10000,99.2291368031366
Curacao,41.70000,99.3775469078859
Cyprus,37.30000,99.79661080846732
Czechia,43.30000,98.97680016398799
Democratic Republic of Congo,17.00000,98.49550840874028
Denmark,42.30000,99.79581287802847
Djibouti,25.40000,98.79541108986616
Dominica,"",99.54214920549421
Dominican Republic,27.60000,99.2885017466852
Ecuador,28.10000,96.1078043156131
Egypt,25.30000,95.20522840326193
El Salvador,27.60000,97.70127645466098
Equatorial Guinea,22.40000,98.88298846365134
Eritrea,19.30000,98.95154723127035
Estonia,42.70000,99.55309856248711
Eswatini,21.50000,98.06460424776343
Ethiopia,19.80000,98.45993841385076
Faeroe Islands,"",99.91921057187373
Falkland Islands,"",""
Fiji,28.60000,98.69037897347488
Finland,42.80000,99.57349469350056
France,42.00000,99.5335521936964
French Polynesia,32.70000,99.11789490852748
Gabon,23.10000,99.36665489959923
Gambia,17.50000,96.96061287367807
Georgia,38.70000,98.9867045579646
Germany,46.60000,99.51122726846774
Ghana,21.10000,99.12898043353155
Gibraltar,"",99.46958981612447
Greece,45.30000,99.20700301992484
Greenland,"",99.82457605880879
Grenada,29.40000,98.74461206896552
Guatemala,22.90000,98.02474373912897
Guinea,19.00000,98.81417634777023
Guinea-Bissau,19.40000,97.96428571428571
Guyana,26.30000,98.14939730768103
Haiti,24.30000,97.24242138067805
Honduras,24.90000,97.4450871898055
Hong Kong,44.80000,99.25951218437612
Hungary,43.40000,97.5858190344725
Iceland,37.30000,99.90946198161926
India,28.20000,98.79591640833891
Indonesia,29.30000,97.43441049006718
Iran,32.40000,98.04911078326329
Iraq,20.00000,98.94134380671036
