location,Pre_Vaccine,Post_Vaccine,diff
France,9497.6,70223.36206896552,60725.76206896552
India,28040.264705882353,76866.8163265306,48826.55162064826
South Korea,207.40740740740742,48699.23809523809,48491.83068783068
Vietnam,4.290322580645161,42956.857142857145,42952.5668202765
Germany,5259.166666666667,45131.142857142855,39871.97619047619
United States,68571.24390243902,98099.24137931035,29527.99747687133
Turkey,3222.3809523809523,29550.295454545456,26327.9145021645
Russia,7104.75,29004.77358490566,21900.02358490566
United Kingdom,5628.0,26292.840909090908,20664.840909090908
Australia,102.27272727272727,19468.581395348836,19366.308668076108
Spain,5688.386363636364,23801.854166666668,18113.467803030304
Brazil,28005.285714285714,44902.04,16896.754285714287
Netherlands,1997.3214285714287,18807.32,16809.998571428572
Italy,8894.657142857142,22753.677966101695,13859.020823244553
Japan,1088.404255319149,14666.170212765957,13577.765957446809
Thailand,14.434782608695652,10858.326086956522,10843.891304347826
Greece,424.8484848484849,10303.138888888889,9878.290404040405
Iran,4239.74358974359,13778.25,9538.50641025641
Malaysia,713.8214285714286,9952.531914893618,9238.710486322188
Argentina,5610.862068965517,14595.838235294117,8984.9761663286
