location,Vaccine_False,Vaccine_True,diff
United States,50179.550458715596,127143.76029962547,76964.20984090987
France,7890.41592920354,52600.165384615386,44709.749455411846
Germany,4883.505952380952,47538.751923076925,42655.24597069597
South Korea,222.18905472636817,39281.25054466231,39059.06148993594
India,29951.252840909092,65105.77045908184,35154.517618172744
United Kingdom,8888.939306358381,36491.46245059289,27602.523144234507
Vietnam,6.126829268292683,23815.26,23809.133170731704
Italy,6168.204819277108,29564.834615384614,23396.629796107507
Russia,8383.95625,28911.68045112782,20527.72420112782
Turkey,4959.915857605178,25282.123260437376,20322.2074028322
Brazil,26031.189602446484,44893.300601202405,18862.11099875592
Japan,1069.8422391857507,17987.8141025641,16917.971863378352
Australia,73.61323155216284,15760.577586206897,15686.964354654734
Spain,5808.997050147493,20394.23828125,14585.241231102507
Netherlands,2737.5047318611987,14229.198818897637,11491.694087036438
Argentina,4401.5467032967035,14726.660231660231,10325.113528363527
Thailand,61.47030878859857,9681.04366812227,9619.573359333672
Malaysia,733.1005025125628,9142.594360086769,8409.493857574205
Iran,4139.76404494382,12071.861635220126,7932.097590276306
Indonesia,2671.1829652996844,10333.746031746032,7662.563066446348
