location,max(total_cases),max(total_deaths),percent_survived
Cook Islands,5790,1,99.98272884283247
Bhutan,59729,21,99.96484119941736
Saint Pierre and Miquelon,2779,1,99.96401583303347
Faeroe Islands,34658,28,99.91921057187373
Burundi,42836,38,99.91128956952096
Iceland,197707,179,99.90946198161926
Tonga,12301,12,99.90244695553207
Singapore,1444068,1413,99.9021514222322
Cayman Islands,27594,29,99.89490468942523
New Zealand,1422178,1602,99.88735587247166
Palau,5237,6,99.88543059003247
Australia,8254847,10040,99.87837448713465
Vanuatu,11470,14,99.87794245858763
Brunei,172280,225,99.869398653355
South Korea,18298341,24474,99.86625016989244
Maldives,182720,306,99.83253064798599
Greenland,11971,21,99.82457605880879
Qatar,385830,679,99.82401575823549
Taiwan,3870528,6956,99.82028291747275
Samoa,14187,28,99.80263621625431
Cyprus,530510,1079,99.79661080846732
Denmark,3161148,6438,99.79633981072699
Mongolia,928586,2116,99.77212665278175
Norway,1450730,3415,99.7646012697056
Bahrain,636294,1498,99.76457423769516
United Arab Emirates,951196,2319,99.75620166611297
Anguilla,3476,9,99.74108170310701
Israel,4137293,10852,99.73770288930467
Netherlands,8176101,22444,99.72549262784302
Isle of Man,36998,110,99.70268663170982
Macao,621,2,99.6779388083736
Japan,9639819,31416,99.67410176477381
Andorra,44177,153,99.65366593476244
Bonaire Sint Eustatius and Saba,10320,37,99.64147286821705
Laos,210348,757,99.64012018179398
Switzerland,3805774,13842,99.63628949065289
Seychelles,45000,167,99.6288888888889
Vietnam,10751227,43089,99.5992178381128
Kuwait,635868,2555,99.59818704510998
Kiribati,3215,13,99.59564541213064
Luxembourg,267707,1094,99.59134426817378
Finland,1145610,4875,99.5744625134208
Mauritius,227442,1000,99.56032746810176
Estonia,581560,2599,99.55309856248711
Monaco,13197,59,99.55292869591574
Austria,4471152,20057,99.55141314811038
Dominica,14852,68,99.54214920549421
France,32035379,150012,99.53173021614634
Ireland,1600614,7499,99.53149228983378
Liechtenstein,18141,85,99.53144810098672
Portugal,5005783,23746,99.52562865789429
New Caledonia,64337,313,99.5134992306138
Germany,29022265,141862,99.51119597316061
Aruba,41448,224,99.45956379077398
Gibraltar,18806,102,99.45761990853983
Barbados,86010,478,99.4442506685269
Timor,22912,131,99.42824720670392
Turks and Caicos Islands,6219,36,99.42112879884226
China,888409,5226,99.4117574225385
Benin,27216,163,99.40108759553205
Curacao,44314,278,99.37265875344134
Slovenia,1049215,6659,99.36533503619373
Gabon,47711,304,99.36283037454675
Turkey,15180444,99057,99.34746967875247
San Marino,17570,115,99.34547524188957
Cape Verde,61517,407,99.33839426499992
Thailand,4502542,30506,99.32247161714427
Uzbekistan,241468,1637,99.32206337899846
Latvia,837872,5862,99.30037046231406
Tajikistan,17786,125,99.29720004497919
Malta,106682,752,99.29510132918394
Solomon Islands,21544,153,99.2898254734497
Dominican Republic,614707,4383,99.2869773729598
Belarus,994037,7118,99.28393007503745
Saint Kitts and Nevis,5890,43,99.26994906621393
Togo,37210,273,99.2663262563827
Belgium,4294880,31977,99.25546231792273
Hong Kong,1241435,9399,99.24289229802608
Sweden,2523404,19144,99.24134225038877
Uruguay,951948,7312,99.23189081756566
Cuba,1106365,8529,99.2290970882123
Central African Republic,14649,113,99.22861628780122
South Sudan,17733,138,99.22178988326849
Montserrat,1023,8,99.21798631476051
Malaysia,4573891,35776,99.21782132543167
United Kingdom,22967566,180898,99.21237627008452
Lithuania,1163529,9178,99.21119284521485
Slovakia,2551116,20147,99.21026719286775
Serbia,2023409,16113,99.20367063702889
Jordan,1700526,14068,99.17272655637139
Greece,3644889,30206,99.17127791820273
Spain,12818184,108111,99.1565809946245
Botswana,323327,2752,99.14884930735757
Palestine,662490,5662,99.14534559012212
Bermuda,16162,140,99.13377057294889
Ghana,166816,1453,99.12898043353155
Italy,19048788,168770,99.11401187309134
French Polynesia,73234,649,99.1137996012781
Panama,932710,8384,99.10111395825069
British Virgin Islands,6941,63,99.09234980550353
Lebanon,1105959,10457,99.05448574495075
Cote d'Ivoire,83896,805,99.04047868789931
Mozambique,228022,2212,99.02991816579102
Costa Rica,834726,8266,99.00973493098334
Georgia,1662299,16844,98.9867045579646
Czechia,3941752,40332,98.97680016398799
Eritrea,9811,103,98.95015798593415
Canada,3973323,42145,98.93930093274571
Iraq,2331872,25228,98.91812243553677
Venezuela,527789,5739,98.91263364715824
Oman,389758,4260,98.9070140959262
Rwanda,131630,1461,98.89007065258679
Belize,60863,678,98.8860227067348
Equatorial Guinea,16000,183,98.85625
Montenegro,237793,2722,98.85530692661264
Saudi Arabia,800087,9221,98.84750033433865
United States,85102113,1009517,98.81375800857025
Guinea,36817,442,98.7994676372328
Djibouti,15690,189,98.79541108986616
India,43566739,525305,98.79425219316965
Nepal,979908,11952,98.78029366022116
Sao Tome and Principe,6064,74,98.7796833773087
Nigeria,257637,3144,98.77967838470406
Azerbaijan,793388,9717,98.77525246159509
Saint Vincent and the Grenadines,8956,110,98.77177311299687
Albania,285731,3510,98.77157186304602
Zambia,325857,4006,98.77062637905584
Grenada,18475,232,98.74424898511502
Libya,502016,6430,98.71916432942376
Morocco,1233138,16133,98.69171171434179
Fiji,66126,866,98.69037897347488
Kazakhstan,1397812,19018,98.63944507558956
Argentina,9426171,129145,98.62993149604436
Croatia,1156932,16101,98.60830195724554
Saint Lucia,27252,385,98.58725965066783
Bangladesh,1989854,29200,98.53255565483698
Papua New Guinea,44675,658,98.52714045886961
Kyrgyzstan,201101,2991,98.51268765446218
Democratic Republic of Congo,91393,1375,98.49550840874028
Wallis and Futuna,456,7,98.46491228070175
Ethiopia,487430,7530,98.45516279260612
Chile,3710521,57897,98.43965308375832
Congo,24128,385,98.40434350132627
Cameroon,120068,1931,98.3917446780158
Sierra Leone,7704,125,98.37746625129803
Antigua and Barbuda,8668,141,98.37332718043378
Philippines,3714770,60639,98.36762437512955
Nicaragua,14619,241,98.35146042820988
Mauritania,59238,982,98.34228029305513
Suriname,80766,1355,98.32231384493475
Kenya,334249,5655,98.30814751876595
Burkina Faso,21044,387,98.16099600836343
Guyana,67657,1256,98.14357716126935
Angola,101320,1900,98.1247532570075
Eswatini,72999,1413,98.06435704598692
Poland,6012635,116412,98.06387715203068
Iran,7239557,141396,98.0468970684256
Comoros,8139,160,98.03415653028628
Pakistan,1536479,30395,98.02177576133484
Guatemala,921146,18616,97.9790391534024
Guinea-Bissau,8400,171,97.96428571428571
Armenia,423006,8629,97.960076216413
Brazil,32759730,673073,97.94542567963778
Russia,18179254,373683,97.94445360629209
Lesotho,33746,699,97.92864339477272
Madagascar,65009,1398,97.84952852681937
Uganda,168360,3627,97.8456878118318
Zimbabwe,255939,5564,97.82604448716296
Jamaica,142912,3130,97.80984102104792
Moldova,520321,11567,97.776949229418
Ukraine,5040518,112459,97.76889994242656
Cambodia,136296,3056,97.7578212126548
Romania,2919461,65739,97.74824873495484
Colombia,6175181,140070,97.73172640607619
Bahamas,36101,820,97.72859477576799
Senegal,86325,1968,97.72024326672458
Tanzania,35768,841,97.64873630060389
Bolivia,928450,21955,97.63530615542032
Mali,31153,737,97.63425673289892
Trinidad and Tobago,166053,3987,97.59895936839443
Namibia,169253,4065,97.59827004543494
Hungary,1928125,46647,97.58070664505672
Sri Lanka,664273,16525,97.51231797769893
El Salvador,162755,4132,97.46121470922552
South Africa,3993444,101764,97.45172337461099
Honduras,426490,10904,97.44331637318578
Indonesia,6074825,156706,97.42040305687819
Algeria,266173,6875,97.41709339414591
Chad,7426,193,97.40102343118771
Tunisia,1052180,28691,97.27318519644928
Haiti,31550,876,97.22345483359747
Paraguay,660841,18994,97.12578366051743
North Macedonia,313360,9322,97.02514679601735
Gambia,12002,365,96.95884019330111
Malawi,86576,2646,96.94372574385511
Myanmar,613695,19434,96.8332803754308
Bulgaria,1164358,37121,96.81189118810538
Niger,9031,310,96.56737902779315
Liberia,7500,294,96.08
Ecuador,909882,35725,96.0736666952418
Bosnia and Herzegovina,379244,15808,95.83170729134804
Afghanistan,183235,7728,95.78246514039348
Egypt,515645,24724,95.20522840326193
Somalia,26748,1361,94.91176910423209
Mexico,6249983,326077,94.78275380909037
Syria,55949,3150,94.36987256251228
Peru,3644199,213593,94.13882172735353
Sudan,62745,4952,92.1077376683401
Yemen,11832,2149,81.83739012846519
Falkland Islands,1831,"",""
Micronesia (country),38,"",""
Marshall Islands,45,"",""
