location,max(total_cases),max(total_deaths),percent_survived
Anguilla,3476,9,99.74108170310701
Afghanistan,183265,7728,95.7831555397921
Algeria,266257,6875,97.41790826156684
Argentina,9426171,129145,98.62993149604436
Angola,101320,1900,98.1247532570075
Albania,287984,3514,98.77979332185122
Bahamas,36245,822,97.73210097944543
Belarus,994037,7118,99.28393007503745
Andorra,44671,155,99.6530187369882
Bangladesh,1989854,29200,98.53255565483698
Barbados,86010,478,99.4442506685269
Aruba,41448,271,99.34616869330245
Azerbaijan,793388,9717,98.77525246159509
Armenia,423417,8629,97.96205631800329
Antigua and Barbuda,8686,143,98.35367257655999
Australia,8516847,10326,99.87875794880429
Austria,4542028,20099,99.55748841706831
Bahrain,639455,1498,99.76573801127523
Chad,7426,193,97.40102343118771
Cambodia,136359,3056,97.7588571344759
British Virgin Islands,7131,63,99.11653344551956
Belgium,4294880,31977,99.25546231792273
Bonaire Sint Eustatius and Saba,10523,37,99.64838924261143
Benin,27216,163,99.40108759553205
Cayman Islands,27594,29,99.89490468942523
Burundi,42836,38,99.91128956952096
Bolivia,944286,21969,97.6734802803388
Central African Republic,14675,113,99.22998296422487
Bhutan,59824,21,99.96489703129178
Cape Verde,61623,409,99.33628677604142
Brunei,172280,225,99.869398653355
Canada,3979420,42180,98.94004653944545
Belize,64948,680,98.95300856069471
Brazil,32896464,673610,97.95233311397845
Botswana,324154,2753,99.15071231575115
Bosnia and Herzegovina,379563,15809,95.83494703119113
Cameroon,120068,1931,98.3917446780158
Bulgaria,1178189,37272,96.83650076515737
Burkina Faso,21044,387,98.16099600836343
Bermuda,16401,140,99.14639351259069
Djibouti,15690,189,98.79541108986616
Comoros,8161,161,98.02720254870727
Dominica,14852,68,99.54214920549421
Ecuador,918479,35749,96.1078043156131
China,892630,5226,99.41453905873654
Curacao,44662,278,99.3775469078859
Chile,4084308,58818,98.55990292602812
Croatia,1159177,16107,98.61047967652912
Cuba,1106422,8529,99.2291368031366
Czechia,3941752,40332,98.97680016398799
Denmark,3188252,6510,99.79581287802847
Congo,24421,386,98.41939314524384
Cyprus,530510,1079,99.79661080846732
Cote d'Ivoire,84079,805,99.04256710950415
Cook Islands,5794,1,99.98274076630997
Dominican Republic,616024,4383,99.2885017466852
Costa Rica,904934,8525,99.05794234717669
Colombia,6198848,140202,97.73825717294568
Democratic Republic of Congo,91393,1375,98.49550840874028
Eritrea,9824,103,98.95154723127035
Fiji,66126,866,98.69037897347488
Germany,29025760,141870,99.51122726846774
France,32176376,150086,99.5335521936964
Greece,3843142,30476,99.20700301992484
Equatorial Guinea,16383,183,98.88298846365134
Finland,1158485,4941,99.57349469350056
Ghana,166816,1453,99.12898043353155
Gabon,48157,305,99.36665489959923
Faeroe Islands,34658,28,99.91921057187373
French Polynesia,73574,649,99.11789490852748
Gibraltar,19796,105,99.46958981612447
Estonia,581560,2599,99.55309856248711
Georgia,1662299,16844,98.9867045579646
Ethiopia,490370,7552,98.45993841385076
Eswatini,73215,1417,98.06460424776343
Gambia,12009,365,96.96061287367807
Falkland Islands,1831,"",""
Egypt,515645,24724,95.20522840326193
El Salvador,180970,4160,97.70127645466098
Guyana,68194,1262,98.14939730768103
Iraq,2385477,25254,98.94134380671036
India,43639329,525454,98.79591640833891
Isle of Man,36998,110,99.70268663170982
Iran,7249976,141439,98.04911078326329
Ireland,1614631,7536,99.53326797268231
Hong Kong,1271054,9412,99.25951218437612
Iceland,197707,179,99.90946198161926
Israel,4449647,11068,99.7512611674589
Indonesia,6111305,156791,97.43441049006718
Guatemala,947472,18715,98.02474373912897
Grenada,18560,233,98.74461206896552
Honduras,429408,10971,97.4450871898055
Guinea,37358,443,98.81417634777023
Greenland,11971,21,99.82457605880879
Haiti,31767,876,97.24242138067805
Guinea-Bissau,8400,171,97.96428571428571
Hungary,1932788,46661,97.5858190344725
Kiribati,3236,13,99.5982694684796
Jordan,1700526,14068,99.17272655637139
Lesotho,33938,699,97.9403618362897
Kuwait,648216,2556,99.60568699322448
Italy,19439501,169106,99.13009083926589
Lithuania,1165053,9178,99.21222467990727
Liechtenstein,18141,85,99.53144810098672
Laos,210366,757,99.64015097496744
Libya,502189,6430,98.71960556682843
Liberia,7500,294,96.08
Jamaica,143982,3157,97.80736480949007
Latvia,839846,5869,99.30118140706749
Kyrgyzstan,201131,2991,98.51290949679561
Kenya,335861,5667,98.3126948350657
