location,peak,testDate,Peak_Date,DIFFDATES,rate
United States,1383890.0,2020-01-24,2022-01-10,717,1930.111576011158
India,414188.0,2020-01-30,2021-05-06,462,896.510822510823
South Korea,621317.0,2020-01-24,2022-03-16,782,794.523017902813
France,502507.0,2020-01-24,2022-01-25,732,686.484972677596
Germany,527487.0,2020-01-27,2022-03-31,794,664.341309823678
Vietnam,454212.0,2020-01-23,2022-03-12,779,583.070603337612
Netherlands,380399.0,2020-02-27,2022-02-07,711,535.019690576653
Spain,372766.0,2020-02-01,2022-01-03,702,531.005698005698
Brazil,287149.0,2020-02-26,2022-02-03,708,405.577683615819
Israel,243295.0,2020-02-21,2022-01-19,698,348.560171919771
Italy,228123.0,2020-01-31,2022-01-18,718,317.720055710306
United Kingdom,225992.0,2020-01-31,2022-03-21,780,289.733333333333
Russia,202211.0,2020-01-31,2022-02-11,742,272.521563342318
Australia,175271.0,2020-01-26,2022-01-12,717,244.450488145049
Argentina,139853.0,2020-03-03,2022-01-14,682,205.063049853372
Sweden,138985.0,2020-02-01,2022-01-25,724,191.968232044199
Belgium,133480.0,2020-02-04,2022-01-24,720,185.388888888889
Turkey,111157.0,2020-03-11,2022-02-04,695,159.938129496403
Mexico,109895.0,2020-02-28,2022-01-19,691,159.037626628075
Taiwan,128954.0,2020-01-24,2022-05-14,841,153.334126040428
Japan,104345.0,2020-01-26,2022-02-03,739,141.197564276049
Kazakhstan,66121.0,2020-03-13,2021-07-23,497,133.040241448692
Switzerland,89462.0,2020-02-25,2022-01-31,706,126.716713881020
Portugal,77281.0,2020-03-02,2022-01-31,700,110.401428571429
Pakistan,12073.0,2020-02-25,2020-06-14,110,109.754545454545
Hong Kong,76991.0,2020-01-23,2022-03-03,770,99.988311688312
Kyrgyzstan,11505.0,2020-03-18,2020-07-18,122,94.303278688525
Iran,50228.0,2020-02-19,2021-08-17,545,92.161467889908
Indonesia,64718.0,2020-03-02,2022-02-16,716,90.388268156425
Peru,59470.0,2020-03-06,2022-01-21,686,86.690962099125
Austria,64038.0,2020-02-25,2022-03-17,751,85.270306258322
Poland,57659.0,2020-03-04,2022-01-27,694,83.082132564841
Czechia,57378.0,2020-03-01,2022-02-02,703,81.618776671408
Canada,63678.0,2020-01-23,2022-04-13,811,78.517879161529
Denmark,55120.0,2020-02-27,2022-02-09,713,77.307152875175
Greece,50182.0,2020-02-26,2022-01-04,678,74.014749262537
Hungary,45047.0,2020-03-04,2022-01-31,698,64.537249283668
Ukraine,45022.0,2020-03-03,2022-02-04,703,64.042674253201
Ireland,43199.0,2020-02-29,2022-01-11,682,63.341642228739
Finland,50889.0,2020-01-29,2022-04-21,813,62.594095940959
South Africa,37875.0,2020-03-05,2021-12-12,647,58.539412673879
Thailand,47149.0,2020-01-24,2022-04-13,810,58.208641975309
Chile,41651.0,2020-02-23,2022-02-11,719,57.929068150209
Botswana,41576.0,2020-03-30,2022-03-30,730,56.953424657534
Romania,40018.0,2020-02-26,2022-02-01,706,56.682719546742
Philippines,38867.0,2020-01-30,2022-01-15,716,54.283519553073
New Zealand,39773.0,2020-02-28,2022-03-11,742,53.602425876011
Serbia,36737.0,2020-03-06,2022-01-27,692,53.088150289017
Palestine,30356.0,2020-03-05,2021-10-06,580,52.337931034483
Colombia,35575.0,2020-03-06,2022-01-15,680,52.316176470588
