location,peak,testDate,Peak_Date,DIFFDATES,rate
India,412431.0,2020-03-09,2021-05-05,422,977.324644549763
United States,485020.0,2020-02-29,2022-01-09,680,713.264705882353
France,502507.0,2020-01-24,2022-01-25,732,686.484972677596
South Korea,381329.0,2020-01-24,2022-03-18,784,486.389030612245
Vietnam,353965.0,2020-03-16,2022-03-17,731,484.220246238030
Germany,294931.0,2020-03-29,2022-03-17,718,410.767409470752
Israel,243295.0,2020-03-01,2022-01-19,689,353.113207547170
Brazil,185964.0,2020-02-29,2022-02-02,704,264.153409090909
Russia,166957.0,2020-03-08,2022-02-04,698,239.193409742120
Spain,137180.0,2020-02-25,2022-01-05,680,201.735294117647
Sweden,138985.0,2020-03-02,2022-01-25,694,200.266570605187
Australia,111907.0,2020-03-09,2022-01-08,670,167.025373134328
United Kingdom,142930.0,2020-02-05,2022-07-06,882,162.052154195011
Turkey,108563.0,2020-04-02,2022-02-09,678,160.122418879056
Netherlands,112227.0,2020-02-27,2022-01-30,703,159.640113798009
Argentina,101689.0,2020-03-11,2022-01-08,668,152.229041916168
Mexico,91406.0,2020-02-29,2022-01-15,686,133.244897959184
Italy,110017.0,2020-01-31,2022-07-06,887,124.032694475761
Japan,89818.0,2020-02-08,2022-02-06,729,123.207133058985
Portugal,77281.0,2020-03-04,2022-01-31,698,110.717765042980
Taiwan,89361.0,2020-01-26,2022-05-25,850,105.130588235294
Belgium,68285.0,2020-03-03,2022-01-27,695,98.251798561151
Hong Kong,74534.0,2020-01-23,2022-02-26,765,97.430065359477
Indonesia,59635.0,2020-03-06,2022-02-18,714,83.522408963585
Canada,63678.0,2020-02-04,2022-04-13,799,79.697121401752
Poland,54475.0,2020-03-18,2022-02-03,687,79.294032023290
Peru,51936.0,2020-03-13,2022-01-23,681,76.264317180617
Greece,50182.0,2020-02-27,2022-01-04,677,74.124076809453
Iran,39619.0,2020-02-20,2021-08-08,535,74.054205607477
Colombia,32997.0,2020-03-21,2021-06-24,460,71.732608695652
Austria,51348.0,2020-03-09,2022-03-10,731,70.243502051984
Switzerland,48990.0,2020-03-18,2022-02-14,698,70.186246418338
Czechia,47849.0,2020-03-15,2022-02-15,702,68.160968660969
Denmark,44225.0,2020-03-15,2022-02-03,690,64.094202898551
Thailand,47149.0,2020-01-24,2022-04-13,810,58.208641975309
Ireland,34057.0,2020-03-10,2022-01-03,664,51.290662650602
Romania,35802.0,2020-03-04,2022-02-02,700,51.145714285714
South Africa,21610.0,2020-03-23,2021-07-10,474,45.590717299578
Ukraine,31216.0,2020-03-13,2022-02-15,704,44.340909090909
Chile,29829.0,2020-03-14,2022-01-28,685,43.545985401460
Philippines,29692.0,2020-03-11,2022-01-23,683,43.472913616398
Malaysia,30644.0,2020-03-07,2022-02-25,720,42.561111111111
Slovakia,24382.0,2020-03-08,2022-02-11,705,34.584397163121
China,25988.0,2020-02-24,2022-04-10,776,33.489690721649
Kazakhstan,16122.0,2020-03-19,2021-08-13,512,31.488281250000
Jordan,21626.0,2020-03-19,2022-02-07,690,31.342028985507
Hungary,20174.0,2020-03-16,2022-01-26,681,29.624082232012
Panama,19722.0,2020-03-19,2022-01-26,678,29.088495575221
Finland,19898.0,2020-03-02,2022-02-07,707,28.144271570014
Georgia,18274.0,2020-03-17,2022-01-29,683,26.755490483163
Norway,17928.0,2020-03-18,2022-02-16,700,25.611428571429
Vanuatu,331.0,2022-03-11,2022-03-24,13,25.461538461538
Singapore,18162.0,2020-02-05,2022-03-03,757,23.992073976222
Bangladesh,15807.0,2020-04-03,2022-01-27,664,23.805722891566
