location,death
Peru,0.6402780144675798
Bulgaria,0.5382464397595645
Bosnia and Herzegovina,0.4843940126105461
Hungary,0.48418326368188536
North Macedonia,0.4476004496171004
Montenegro,0.43340429360036054
Georgia,0.423240219982396
Croatia,0.3944721469736433
Czechia,0.3760716180898169
Slovakia,0.36971924679819496
Romania,0.34368351943969216
Lithuania,0.34120709538258837
San Marino,0.33813584239929434
Slovenia,0.3203409016016083
Brazil,0.3145297336473037
Latvia,0.3139907463252584
Poland,0.3079926978331614
United States,0.3032355933513542
Gibraltar,0.30275147665548663
Chile,0.30135284771336285
Greece,0.29126156486123905
Armenia,0.2907219634732734
Moldova,0.2874485123725623
Trinidad and Tobago,0.28410103080148275
Argentina,0.2831765583969398
Italy,0.2795710954994288
Belgium,0.27489753990901566
Colombia,0.2732228658845175
United Kingdom,0.2652186691259214
Paraguay,0.2630878737599279
Ukraine,0.2587237686711948
Russia,0.2561015842820683
Mexico,0.25032353970322324
Tunisia,0.24037841230775003
Serbia,0.23448868209735013
Portugal,0.23353835389980826
Spain,0.2312771676225828
French Polynesia,0.22970686713811436
Suriname,0.22896326111274454
Bermuda,0.2254718804354828
France,0.2224971077689775
Liechtenstein,0.22219898572698277
Austria,0.2217940982887231
Uruguay,0.2098043356502098
Aruba,0.2089649703810812
Saint Lucia,0.20878411722279164
British Virgin Islands,0.20708016960851988
Bahamas,0.2065938717203223
Grenada,0.2052824846259346
Ecuador,0.19970960071831728
Andorra,0.19779196938749127
Estonia,0.1961231161163548
Panama,0.19134636956552004
Sweden,0.18842224811639266
Bolivia,0.18554144127881703
Luxembourg,0.17233394348580844
South Africa,0.1694880363404308
Germany,0.16908367534670932
Seychelles,0.16884035992316246
Curacao,0.1686934148887109
Belize,0.1674425496709186
Iran,0.16629196991700218
Barbados,0.1661406704019353
Costa Rica,0.1608467552290276
Montserrat,0.16061031921300944
Guyana,0.158921158150593
Switzerland,0.1588206015631472
Namibia,0.15711092147004804
Lebanon,0.1544802294999772
Ireland,0.15049457103729072
Monaco,0.1492914979757085
Malta,0.14570819608602986
Antigua and Barbuda,0.1428166275018232
Bonaire Sint Eustatius and Saba,0.13991302703724712
Jordan,0.13699454534229258
Netherlands,0.1306928151677269
Isle of Man,0.12879053974944385
Hong Kong,0.12444391483952971
Albania,0.12217475236117502
Eswatini,0.1205251930066387
Cyprus,0.1204234351370807
Israel,0.11680120546765688
Turkey,0.11647908411601432
Botswana,0.11479868515459446
Denmark,0.11074600975486909
Canada,0.11071003550943284
Malaysia,0.10915238940944792
New Caledonia,0.10859872942956175
Palestine,0.10841019568978524
Honduras,0.10835741331059127
Jamaica,0.10526450312800366
Guatemala,0.10200621725044805
Kazakhstan,0.10012130587495902
Saint Vincent and the Grenadines,0.09885952062119727
Fiji,0.09591327490671714
Azerbaijan,0.09504717830095515
Dominica,0.0942193648506346
Libya,0.09240446772008719
Turks and Caicos Islands,0.09177586294804467
Finland,0.08786378535931602
Bahrain,0.08568348019070009
Oman,0.08155644931553846
Saint Kitts and Nevis,0.0803047846711239
Mauritius,0.07852819319191975
Sri Lanka,0.07687009711821564
Belarus,0.07537964899855097
Cuba,0.07536117965295863
Cape Verde,0.07243268832054045
Mongolia,0.06355724747858547
El Salvador,0.06338881644550126
Wallis and Futuna,0.06309716964124752
Norway,0.062481372226325646
Iraq,0.06126371442813657
Anguilla,0.05950413223140496
Kuwait,0.05902665394186002
Faeroe Islands,0.05708111634354678
Indonesia,0.056703208187377924
Maldives,0.05628931974541039
Philippines,0.05460665226974798
Brunei,0.0509589338938061
Iceland,0.04853684461701989
South Korea,0.04770278184754196
Kyrgyzstan,0.04512437263770288
Vietnam,0.043892751333521565
Thailand,0.043610624626630665
Cayman Islands,0.043610334145387834
Morocco,0.04320013928583928
Nepal,0.040276435454585896
Dominican Republic,0.040013825447697465
Australia,0.038932509370461714
India,0.037699267591873004
Greenland,0.03692762186115214
Zimbabwe,0.03686679669876521
Myanmar,0.03545961215132339
Sao Tome and Principe,0.033129779194498665
Palau,0.033014196104324864
Lesotho,0.032375095353687496
New Zealand,0.031250609601466944
Taiwan,0.02915949556587866
Saudi Arabia,0.02609174469761193
Singapore,0.025909490978436263
Japan,0.02492328568873139
Egypt,0.02371417296960846
United Arab Emirates,0.023210696978495725
Qatar,0.023169917734848784
Solomon Islands,0.021733108899921163
Zambia,0.021172626299393302
Mauritania,0.020564971278148565
Venezuela,0.019993069487290814
Afghanistan,0.019399816665707722
Djibouti,0.01885856772670443
Cambodia,0.018033279662296155
Comoros,0.01800877027112204
Bangladesh,0.017558260080813456
Saint Pierre and Miquelon,0.017328019407381736
Syria,0.017235998131727236
Algeria,0.01540905401497639
Gambia,0.01467668863344749
Samoa,0.01398992725237829
Pakistan,0.013496895907103061
Malawi,0.013467238194675494
Gabon,0.01334018480544174
Equatorial Guinea,0.012621638454201039
Senegal,0.011444317001067903
Tonga,0.011240270141159059
Sudan,0.011026656786912819
Rwanda,0.01100439219111458
Kiribati,0.010709460572708999
Kenya,0.010284491775698344
Laos,0.010258344967136708
Timor,0.009747930425076736
Guinea-Bissau,0.008484289180298588
Somalia,0.008319325162749473
Uganda,0.00769679132504772
Haiti,0.0075898809558363365
Papua New Guinea,0.007215699519848931
Cameroon,0.007092937909574923
Yemen,0.007048064817533014
Mozambique,0.006877458275483556
Congo,0.006805706965349406
Ethiopia,0.006388056570457218
Cook Islands,0.0056908718415661285
Liberia,0.005675447781247394
Angola,0.005599168329005717
Madagascar,0.0049178021730001895
Uzbekistan,0.004823819354006016
Ghana,0.004578955435954374
Vanuatu,0.004452019945049354
Nicaragua,0.0035957381699841203
Mali,0.003533802039190776
Guinea,0.0032747443050751795
Togo,0.0032200071665800527
Cote d'Ivoire,0.002975571225583082
Eritrea,0.002859949653779493
Bhutan,0.00269265290421849
Central African Republic,0.0022967540361387134
Burkina Faso,0.0018002430746812
Sierra Leone,0.0015353732179076598
Democratic Republic of Congo,0.0014884498564409056
Nigeria,0.0014872230510642008
Tanzania,0.0013675144074390964
Benin,0.0013091285372271583
Tajikistan,0.0012821005936125749
Niger,0.0012335455960233673
South Sudan,0.0012125070630732994
Chad,0.0011410001250370602
China,3.618572035558152E-4
Burundi,3.1006666514897193E-4
Macao,3.0377085956521276E-4
Falkland Islands,""
Micronesia (country),""
Marshall Islands,""
