location,max(total_cases),max(population),cases_per_person
Anguilla,3476,15125,0.2298181818181818
Afghanistan,183265,39835428,0.00460055305543598
Algeria,266257,44616626,0.005967663265259009
Argentina,9426171,45605823,0.2066878828170692
Angola,101320,33933611,0.0029858301847097853
Albania,287984,2872934,0.10024038143584224
Bahamas,36245,396914,0.09131701073784246
Belarus,994037,9442867,0.10526855879681457
Andorra,44671,77354,0.5774879127129818
Bangladesh,1989854,166303494,0.011965196594125677
Barbados,86010,287708,0.298948934336202
Aruba,41448,107195,0.3866598255515649
Azerbaijan,793388,10223344,0.07760552711519832
Armenia,423417,2968128,0.1426545620674041
Antigua and Barbuda,8686,98728,0.08797909407665505
Australia,8516847,25788217,0.33026118091064616
Austria,4542028,9043072,0.502266044105366
Bahrain,639455,1748295,0.36575921111711696
Chad,7426,16914985,4.3901901184068443E-4
Cambodia,136359,16946446,0.008046465907954978
British Virgin Islands,7131,30423,0.2343950300759294
Belgium,4294880,11632334,0.3692191094237837
Bonaire Sint Eustatius and Saba,10523,26445,0.39792021176025716
Benin,27216,12451031,0.0021858430839984257
Cayman Islands,27594,66498,0.41495984841649375
Burundi,42836,12255429,0.0034952672811372006
Bolivia,944286,11832936,0.07980149643334503
Central African Republic,14675,4919987,0.0029827314584367805
Bhutan,59824,779900,0.07670727016284139
Cape Verde,61623,561901,0.10966878507067972
Brunei,172280,441532,0.3901868947211074
Canada,3979420,38067913,0.10453475608184773
Belize,64948,404915,0.16039909610659028
Brazil,32896464,213993441,0.15372650603809862
Botswana,324154,2397240,0.13521966928634596
Bosnia and Herzegovina,379563,3263459,0.11630696141731825
Cameroon,120068,27224262,0.0044103307557060685
Bulgaria,1178189,6896655,0.17083484674816996
Burkina Faso,21044,21497097,9.789228750281956E-4
Bermuda,16401,62092,0.26414030793016813
Djibouti,15690,1002197,0.01565560463661336
Comoros,8161,888456,0.009185598386414183
Dominica,14852,72172,0.20578617746494485
Ecuador,918479,17888474,0.051344737399064894
China,892630,1444216102,6.180723222541664E-4
Curacao,44662,164796,0.27101385955969803
Chile,4084308,19212362,0.21258749965256746
Croatia,1159177,4081657,0.2839966709598577
Cuba,1106422,11317498,0.09776206719895157
Czechia,3941752,10724553,0.36754464265317166
Denmark,3188252,5813302,0.548440800082294
Congo,24421,5657017,0.004316939475345398
Cyprus,530510,896005,0.5920837495326478
Cote d'Ivoire,84079,27053629,0.003107864013363974
Cook Islands,5794,17572,0.3297291145003414
Dominican Republic,616024,10953714,0.056238824566717735
Costa Rica,904934,5139053,0.17608964141837027
Colombia,6198848,51265841,0.12091575753141356
Democratic Republic of Congo,91393,92377986,9.893374380342088E-4
Eritrea,9824,3601462,0.0027277811066727903
Fiji,66126,902899,0.07323742744205056
Germany,29025760,83900471,0.3459546728885467
France,32176376,67422000,0.4772385274836107
Greece,3843142,10370747,0.37057523435872075
Equatorial Guinea,16383,1449891,0.01129947009809703
Finland,1158485,5548361,0.20879769719381994
Ghana,166816,31732128,0.005257006400579249
Gabon,48157,2278829,0.02113234472617296
Faeroe Islands,34658,49053,0.7065419036552301
French Polynesia,73574,282534,0.2604075969617816
Gibraltar,19796,33691,0.5875753168501974
Estonia,581560,1325188,0.43885094039487227
Georgia,1662299,3979773,0.4176868881717626
Ethiopia,490370,117876226,0.004160041567669464
Eswatini,73215,1172369,0.062450474210764696
Gambia,12009,2486937,0.004828831610933449
Falkland Islands,1831,3528,0.5189909297052154
Egypt,515645,104258327,0.004945839961540913
El Salvador,180970,6518500,0.02776252205261947
Guyana,68194,790329,0.08628558486402498
Iraq,2385477,41179351,0.05792896056084031
