location,max(total_cases),max(population),cases_per_person
Faeroe Islands,34658,49053,0.7065419036552301
Cyprus,530510,896005,0.5920837495326478
Andorra,44177,77354,0.5711016883419087
Gibraltar,18806,33691,0.5581906147042237
Denmark,3161148,5813302,0.5437783896312285
Iceland,197707,368792,0.5360935161283324
Falkland Islands,1831,3528,0.5189909297052154
San Marino,17570,34010,0.516612760952661
Slovenia,1049215,2078723,0.5047401698061743
Austria,4471152,9043072,0.4944284420161644
Portugal,5005783,10167923,0.49231126160180405
Saint Pierre and Miquelon,2779,5771,0.48154565933113846
Netherlands,8176101,17173094,0.4760994728148579
France,32035379,67422000,0.4751472664708849
Liechtenstein,18141,38254,0.47422491765567
Slovakia,2551116,5449270,0.4681573862187045
Seychelles,45000,98910,0.4549590536851683
Latvia,837872,1866934,0.4487957260406635
Israel,4137293,9291000,0.44530115165213646
Estonia,581560,1325188,0.43885094039487227
Switzerland,3805774,8715494,0.43666761746379495
Isle of Man,36998,85410,0.4331811263318113
Lithuania,1163529,2689862,0.4325608525641836
Luxembourg,267707,634814,0.4217093510855148
Georgia,1662299,3979773,0.4176868881717626
Cayman Islands,27594,66498,0.41495984841649375
Bonaire Sint Eustatius and Saba,10320,26445,0.3902439024390244
Brunei,172280,441532,0.3901868947211074
Aruba,41448,107195,0.3866598255515649
Montenegro,237793,628051,0.3786205260400827
Belgium,4294880,11632334,0.3692191094237837
Czechia,3941752,10724553,0.36754464265317166
Bahrain,636294,1748295,0.3639511638482064
South Korea,18298341,51305184,0.35665676591277795
Greece,3644889,10370747,0.35145867505976186
Germany,29022265,83900471,0.34591301638819166
United Kingdom,22967566,68207114,0.3367327050371901
Maldives,182720,543620,0.33611714064971854
Monaco,13197,39520,0.3339321862348178
Cook Islands,5790,17572,0.3295014796266788
Ireland,1600614,4982904,0.3212211192509428
Australia,8254847,25788217,0.32010150217054556
Italy,19048788,60367471,0.31554722575673244
Barbados,86010,287708,0.298948934336202
Serbia,2023409,6871547,0.29446193120704844
Palau,5237,18174,0.28815890833058216
Croatia,1156932,4081657,0.28344664924073726
Mongolia,928586,3329282,0.27891479303946015
New Zealand,1422178,5126300,0.2774277744181964
Spain,12818184,46745211,0.2742138440662938
Uruguay,951948,3485152,0.27314389731064814
Curacao,44314,164796,0.26890215781936455
Norway,1450730,5465629,0.2654278217566542
Singapore,1444068,5453600,0.26479169722751944
Bermuda,16162,62092,0.2602911808284481
French Polynesia,73234,282534,0.25920420197215205
United States,85102113,332915074,0.2556270942540739
Sweden,2523404,10160159,0.24836264865539998
Anguilla,3476,15125,0.2298181818181818
British Virgin Islands,6941,30423,0.22814975511948196
New Caledonia,64337,288217,0.22322416790126884
Panama,932710,4381583,0.2128705538614697
Greenland,11971,56868,0.21050502919040584
Malta,106682,516100,0.20670800232513079
Argentina,9426171,45605823,0.2066878828170692
Finland,1145610,5548361,0.20647719209330467
Dominica,14852,72172,0.20578617746494485
Montserrat,1023,4981,0.2053804456936358
Hungary,1928125,9634162,0.20013416838952885
Chile,3710521,19212362,0.19313195327050364
Mauritius,227442,1273428,0.17860609315956616
Turkey,15180444,85042736,0.17850371135754617
Bulgaria,1164358,6896655,0.16882938178000784
Jordan,1700526,10269022,0.1655976586670084
Hong Kong,1241435,7552800,0.1643675193305794
Grenada,18475,113015,0.16347387514931647
Lebanon,1105959,6769151,0.16338223212925815
Costa Rica,834726,5139053,0.1624279804080635
Taiwan,3870528,23855008,0.162252219743544
Poland,6012635,37797000,0.15907704315157287
Turks and Caicos Islands,6219,39226,0.15854280324274717
Brazil,32759730,213993441,0.153087542528932
Romania,2919461,19127772,0.15262943326593395
North Macedonia,313360,2082661,0.15046135688909526
Belize,60863,404915,0.15031055900621118
Saint Lucia,27252,184401,0.14778661720923422
Kuwait,635868,4328553,0.1469008234391493
Armenia,423006,2968128,0.14251609095025553
Malaysia,4573891,32776195,0.13954917585766133
Suriname,80766,591798,0.1364756217493131
Botswana,323327,2397240,0.13487468922594317
Qatar,385830,2930524,0.1316590480064316
Moldova,520321,4024025,0.12930362013158467
Palestine,662490,5222756,0.12684682186952637
Russia,18179254,145912022,0.12459051523526965
Colombia,6175181,51265841,0.12045410510285007
Trinidad and Tobago,166053,1403374,0.11832412457406223
Bosnia and Herzegovina,379244,3263459,0.1162092123725164
Ukraine,5040518,43466822,0.11596242301772143
Tonga,12301,106759,0.11522213583866465
Saint Kitts and Nevis,5890,53546,0.10999887946812087
Vietnam,10751227,98168829,0.10951772685400984
Cape Verde,61517,561901,0.1094801397399186
Peru,3644199,33359415,0.1092404947748634
Belarus,994037,9442867,0.10526855879681457
Canada,3973323,38067913,0.10437459495087109
Albania,285731,2872934,0.09945616571769487
Cuba,1106365,11317498,0.09775703075008275
United Arab Emirates,951196,9991083,0.09520449384716352
Paraguay,660841,7219641,0.09153377570990026
Bahamas,36101,396914,0.0909542117436019
Tunisia,1052180,11935764,0.08815355263391601
Antigua and Barbuda,8668,98728,0.08779677497771655
Guyana,67657,790329,0.08560612099518049
Iran,7239557,85028760,0.0851424506249415
Saint Vincent and the Grenadines,8956,111269,0.08048962424394934
Bolivia,928450,11832936,0.07846319797554893
Azerbaijan,793388,10223344,0.07760552711519832
Bhutan,59729,779900,0.07658545967431722
Japan,9639819,126050796,0.07647566938014418
Oman,389758,5223376,0.07461802481766582
Kazakhstan,1397812,18994958,0.07358858071705134
Fiji,66126,902899,0.07323742744205056
Libya,502016,6958538,0.0721438899952835
Samoa,14187,200144,0.07088396354624671
South Africa,3993444,60041996,0.06651084684126757
Namibia,169253,2587344,0.06541573134457575
Thailand,4502542,69950844,0.06436722907875136
Eswatini,72999,1172369,0.06226623187750614
Iraq,2331872,41179351,0.05662721590731238
Dominican Republic,614707,10953714,0.05611859137457852
Ecuador,909882,17888474,0.05086414861323554
Guatemala,921146,18249868,0.05047411849773379
Jamaica,142912,2973462,0.048062494156642994
Mexico,6249983,130262220,0.047980012930840574
Honduras,426490,10062994,0.04238201871132985
Wallis and Futuna,456,11094,0.0411032990805841
Vanuatu,11470,314464,0.036474763406940065
Philippines,3714770,111046910,0.033452259049801564
Nepal,979908,29674920,0.03302142010829347
Morocco,1233138,37344787,0.033020351675857734
India,43566739,1393409033,0.03126629580274868
Sri Lanka,664273,21497306,0.030900290482909813
Solomon Islands,21544,703995,0.030602490074503372
Kyrgyzstan,201101,6628347,0.03033954015986188
Laos,210348,7379358,0.028504918720571627
Sao Tome and Principe,6064,223364,0.027148510950735123
Kiribati,3215,121388,0.026485319800968795
El Salvador,162755,6518500,0.024968167523203192
Saudi Arabia,800087,35340680,0.022639264439733475
Indonesia,6074825,276361788,0.02198142168627162
Gabon,47711,2278829,0.020936630172777335
Venezuela,527789,28704947,0.01838669132536632
Zambia,325857,18920657,0.017222287788420877
Timor,22912,1343875,0.017049204725141848
Zimbabwe,255939,15092171,0.016958395183834057
Djibouti,15690,1002197,0.01565560463661336
Lesotho,33746,2159067,0.015629899396359632
Mauritania,59238,4775110,0.012405578091394753
Bangladesh,1989854,166303494,0.011965196594125677
Myanmar,613695,54806014,0.01119758499496059
Equatorial Guinea,16000,1449891,0.01103531230968397
Rwanda,131630,13276517,0.009914497906340948
Comoros,8139,888456,0.00916083632729139
Cambodia,136296,16946446,0.008042748314307319
Uzbekistan,241468,33935765,0.007115442955242058
Mozambique,228022,32163045,0.0070895650582835056
Pakistan,1536479,225199929,0.006822733056900742
Kenya,334249,54985702,0.006078834821459586
Algeria,266173,44616626,0.0059657805590229976
Ghana,166816,31732128,0.005257006400579249
Senegal,86325,17196308,0.005019972891855624
Egypt,515645,104258327,0.004945839961540913
Papua New Guinea,44675,9119005,0.004899109058499255
Gambia,12002,2486937,0.004826016903524295
Afghanistan,183235,39835428,0.004599799956962932
Cameroon,120068,27224262,0.0044103307557060685
Malawi,86576,19647681,0.004406423333114987
Togo,37210,8478242,0.004388881562946658
Congo,24128,5657017,0.004265145393764947
Guinea-Bissau,8400,2015490,0.004167721000848429
Ethiopia,487430,117876226,0.0041351001515776385
Uganda,168360,47123533,0.0035727372139096616
Burundi,42836,12255429,0.0034952672811372006
Cote d'Ivoire,83896,27053629,0.0031010996713232075
Syria,55949,18275704,0.0030613868554666894
Angola,101320,33933611,0.0029858301847097853
Central African Republic,14649,4919987,0.002977446891627966
Haiti,31550,11541683,0.0027335701387743885
Guinea,36817,13497237,0.0027277434633473504
Eritrea,9811,3601462,0.0027241714614786995
Madagascar,65009,28427333,0.0022868483652687364
Benin,27216,12451031,0.0021858430839984257
Nicaragua,14619,6702379,0.002181165821867131
Tajikistan,17786,9749625,0.0018242752926394604
Somalia,26748,16359500,0.0016350132950273542
South Sudan,17733,11381377,0.0015580715760491898
Mali,31153,20855724,0.0014937386014506138
Liberia,7500,5180208,0.0014478183115427025
Sudan,62745,44909351,0.001397147778866811
Nigeria,257637,211400704,0.0012187140114727339
Democratic Republic of Congo,91393,92377986,9.893374380342088E-4
Burkina Faso,21044,21497097,9.789228750281956E-4
Sierra Leone,7704,8141343,9.462812216608488E-4
Macao,621,658391,9.432085189499857E-4
Marshall Islands,45,59618,7.548055956254822E-4
China,888409,1444216102,6.151496294562155E-4
Tanzania,35768,61498438,5.81608267839258E-4
Chad,7426,16914985,4.3901901184068443E-4
Yemen,11832,30490639,3.880535268545864E-4
Niger,9031,25130810,3.59359686377001E-4
Micronesia (country),38,116255,3.268676616059524E-4
