location,max(total_cases),max(total_tests),percent_positive
Brazil,32759730,66120342,49.54561487295393
Marshall Islands,45,92,48.91304347826087
Mexico,6249983,15569464,40.14257009746771
Syria,55949,158382,35.325352628455256
Ecuador,909882,2820610,32.25834128078678
Taiwan,3870528,12809001,30.21725113457326
Ukraine,5040518,17270793,29.185214599005384
Netherlands,8176101,30632710,26.69075311978601
Costa Rica,834726,3144278,26.547461770237874
Argentina,9426171,36541392,25.795872800904796
Bosnia and Herzegovina,379244,1471199,25.77788592841621
Paraguay,660841,2583598,25.578321395201577
Croatia,1156932,4538432,25.491887947202912
Lebanon,1105959,4356507,25.38637031915707
Cuba,1106365,4370750,25.312932563061256
Tunisia,1052180,4563397,23.05694639322417
Guatemala,921146,3997718,23.04179534424389
Germany,29022265,127183738,22.81916340593795
Trinidad and Tobago,166053,766504,21.663683425004958
Bolivia,928450,4288899,21.647746892617427
North Macedonia,313360,1449839,21.613434319258896
Serbia,2023409,9845433,20.551752269300902
Laos,210348,1026199,20.497778695944938
Afghanistan,183235,904055,20.268125279988496
Liechtenstein,18141,90632,20.01610910053844
Slovenia,1049215,5302478,19.787257957505904
Saint Lucia,27252,137919,19.75942400974485
Oman,389758,1986264,19.622668487169882
New Zealand,1422178,7264156,19.578021176857984
Japan,9639819,49974179,19.28959953499186
Dominican Republic,614707,3298391,18.636571588995967
Hungary,1928125,10349616,18.629918250107057
Thailand,4502542,24467561,18.40208756401997
South Korea,18298341,99839152,18.32782093341498
Colombia,6175181,34308894,17.998776060808023
Switzerland,3805774,21199457,17.952223964981744
Albania,285731,1610330,17.7436301876013
Mauritius,227442,1282782,17.730370398087906
Namibia,169253,964061,17.55625422042796
Mozambique,228022,1334568,17.0858285227879
Estonia,581560,3406527,17.071932792547955
Poland,6012635,36754880,16.358739302100837
Central African Republic,14649,90855,16.12349347861978
Bahamas,36101,230514,15.661087829806434
Uruguay,951948,6080291,15.656290134797823
South Africa,3993444,25637671,15.576469485079203
Iran,7239557,46701520,15.501758829262947
Haiti,31550,206594,15.27149868824845
Madagascar,65009,428492,15.171578465875676
Panama,932710,6321124,14.755445392306813
Malawi,86576,587353,14.74002856885042
Andorra,44177,300307,14.710612806228292
Iceland,197707,1358337,14.555077274638032
Bangladesh,1989854,13804340,14.41469856581336
Jamaica,142912,1006348,14.201051723658217
Botswana,323327,2285160,14.148987379439514
Nepal,979908,6946964,14.105557478058042
Romania,2919461,20730467,14.082948541390794
Spain,12818184,92970686,13.78733937705913
Sweden,2523404,18407585,13.708501142328014
Armenia,423006,3096641,13.660156279013291
Philippines,3714770,27506830,13.504900419277686
Lithuania,1163529,8715137,13.350667924095744
Eswatini,72999,547721,13.327770890654184
Iraq,2331872,17595472,13.252682280986836
Peru,3644199,27851471,13.084404051764448
Norway,1450730,11149027,13.012166891335003
Ireland,1600614,12325605,12.986088715320667
Vietnam,10751227,84789075,12.679967318902818
Mongolia,928586,7388718,12.567619984955442
