location,max(total_cases),max(total_tests),percent_positive
Anguilla,3476,51382,6.76501498579269
Afghanistan,183265,994894,18.42055535564593
Algeria,266257,230553,115.48624394390879
Argentina,9426171,36663990,25.70961589286927
Angola,101320,1618566,6.259862124868556
Albania,287984,1613870,17.844312119315685
Bahamas,36245,241200,15.026948590381425
Belarus,994037,13220483,7.518915912527553
Andorra,44671,300307,14.875111136270549
Bangladesh,1989854,13820904,14.397422918211428
Barbados,86010,697476,12.331607109061817
Aruba,41448,793,5226.733921815889
Azerbaijan,793388,6947820,11.419236537503851
Armenia,423417,3102267,13.64863179088067
Antigua and Barbuda,8686,16700,52.0119760479042
Australia,8516847,73370295,11.60803156100163
Austria,4542028,189791719,2.393164477318423
Bahrain,639455,9969082,6.414381986225011
Chad,7426,218873,3.3928351144270876
Cambodia,136359,2977609,4.579479710062671
British Virgin Islands,7131,96630,7.379695746662527
Belgium,4294880,34315605,12.51582188336764
Bonaire Sint Eustatius and Saba,10523,"",""
Benin,27216,604310,4.503648789528554
Cayman Islands,27594,9358,294.8706988672794
Burundi,42836,1611285,2.6584992723199186
Bolivia,944286,4440371,21.265925752600403
Central African Republic,14675,94759,15.486655621101953
Bhutan,59824,1711669,3.4950682637823083
Cape Verde,61623,"",""
Brunei,172280,93192,184.86565370418063
Canada,3979420,62177630,6.400083116709338
Belize,64948,572900,11.33670797695933
Brazil,32896464,70923215,46.38321034938983
Botswana,324154,2285160,14.185177405520838
Bosnia and Herzegovina,379563,1499302,25.315980369531953
Cameroon,120068,2731181,4.396193441591751
Bulgaria,1178189,10080207,11.688142912144563
Burkina Faso,21044,324773,6.479602676330852
Bermuda,16401,41927,39.117990793522075
Djibouti,15690,309732,5.065669675719654
Comoros,8161,100289,8.13748267506905
Dominica,14852,205366,7.2319663430168575
Ecuador,918479,2870685,31.995116148236395
China,892630,160000000,0.55789375
Curacao,44662,22100,202.09049773755657
Chile,4084308,39773213,10.268991846346434
Croatia,1159177,4922712,23.54752827303324
Cuba,1106422,5296762,20.888648574355425
Czechia,3941752,54587458,7.220984717771617
