location,max(people_vaccinated),max(population),vaccinated
Gibraltar,42042,33691,124.78703511323499
Tonga,108263,106759,101.4087805243586
United Arab Emirates,9991089,9991083,100.00006005354976
Brunei,432057,441532,97.85406267269417
Portugal,9713348,10167923,95.52932295022298
Cuba,10680187,11317498,94.36879953502091
Chile,17967786,19212362,93.52200421790928
Macao,614592,658391,93.34757006095163
Malta,476978,516100,92.41968610734354
Cayman Islands,61240,66498,92.09299527805348
Singapore,5019606,5453600,92.04206395775267
Argentina,41152700,45605823,90.23562627079441
Qatar,2639416,2930524,90.06634990875352
Hong Kong,6742255,7552800,89.26828460968117
Cambodia,15078410,16946446,88.9768273536528
Taiwan,21183411,23855008,88.80068705070231
Peru,29526162,33359415,88.50923195145958
Spain,41167422,46745211,88.06767820558132
South Korea,45066921,51305184,87.84087198673724
Vietnam,86060792,98168829,87.6661083529885
Bhutan,682653,779900,87.53083728683164
Nicaragua,5837222,6702379,87.091792332245
Australia,22344930,25788217,86.64782834734174
Brazil,184864012,213993441,86.38770007908794
Canada,32787133,38067913,86.12800234149952
Uruguay,2996475,3485152,85.97831601032036
Malaysia,28047699,32776195,85.5733833655798
Faeroe Islands,41679,49053,84.96728028866735
Ecuador,15187191,17888474,84.89931002499151
Costa Rica,4336171,5139053,84.37684919770237
Italy,50806757,60367471,84.1624738594731
New Zealand,4292257,5126300,83.73011723855413
Aruba,89190,107195,83.20350762628854
Denmark,4828469,5813302,83.05897405639686
Colombia,42215008,51265841,82.34529498891865
Japan,103741278,126050796,82.30116849083603
Ireland,4090685,4982904,82.09439716277898
Seychelles,81021,98910,81.9138610858356
Isle of Man,69560,85410,81.44245404519377
Thailand,56658673,69950844,80.99784042634282
France,54477726,67422000,80.80111239654713
Finland,4459330,5548361,80.37202337771461
Panama,3485515,4381583,79.54921771423706
Belgium,9248631,11632334,79.50795601295493
Turks and Caicos Islands,31165,39226,79.449854688217
Norway,4340992,5465629,79.42346617379262
Sri Lanka,17072957,21497306,79.4190537177077
Kuwait,3419874,4328553,79.00732646683545
United Kingdom,53580414,68207114,78.55546270437421
Laos,5788210,7379358,78.4378532658261
Bermuda,48517,62092,78.13728016491658
Iceland,287229,368792,77.88373934358663
