location,density,gdp,rate
India,450.41900000000095,6426.674,977.3246445497630000
United States,35.608000000000054,54225.44600000011,713.2647058823530000
France,122.57799999999999,38605.67100000005,686.4849726775960000
South Korea,527.9669999999999,35938.37399999999,486.3890306122450000
Vietnam,308.1270000000003,6171.884000000006,484.2202462380300000
Germany,237.0159999999997,45229.245000000075,410.7674094707520000
Israel,402.6059999999998,33132.31999999996,353.1132075471700000
Brazil,25.039999999999974,14103.452000000023,264.1534090909090000
Russia,8.822999999999988,24765.95399999997,239.1934097421200000
Spain,93.10499999999978,34272.35999999998,201.7352941176470000
Sweden,24.718,46949.28299999992,200.2665706051870000
Australia,3.201999999999999,44648.70999999998,167.0253731343280000
United Kingdom,272.898,39753.24399999996,162.0521541950110000
Turkey,104.91399999999996,25129.34100000001,160.1224188790560000
Netherlands,508.54400000000095,48472.54499999995,159.6401137980090000
Argentina,16.176999999999975,18933.906999999952,152.2290419161680000
Mexico,66.44400000000012,17336.469000000026,133.2448979591840000
Italy,205.85900000000026,35220.08399999994,124.0326944757610000
Japan,347.77799999999934,39002.22300000009,123.2071330589850000
Portugal,112.37099999999984,27936.896000000022,110.7177650429800000
Taiwan,"","",105.1305882352940000
Belgium,375.5639999999993,42658.575999999935,98.2517985611510000
Hong Kong,7039.714,56054.91999999995,97.4300653594770000
Indonesia,145.72500000000016,11188.743999999988,83.5224089635850000
Canada,4.036999999999997,44017.59100000001,79.6971214017520000
Poland,124.02700000000002,27216.445000000014,79.2940320232900000
Peru,25.128999999999962,12236.706000000004,76.2643171806170000
Greece,83.47900000000003,24574.381999999987,74.1240768094530000
Iran,49.83100000000005,19082.620000000046,74.0542056074770000
Colombia,44.22299999999997,13254.949000000013,71.7326086956520000
Austria,106.74899999999987,45436.68600000009,70.2435020519840000
Switzerland,214.24299999999985,57410.16600000012,70.1862464183380000
Czechia,137.17599999999996,32605.90599999997,68.1609686609690000
Denmark,136.52000000000027,46682.515000000036,64.0942028985510000
Thailand,135.13199999999975,16277.671000000015,58.2086419753090000
Ireland,69.87399999999987,67335.29299999993,51.2906626506020000
Romania,85.12899999999992,23313.19900000002,51.1457142857140000
South Africa,46.753999999999934,12294.876000000018,45.5907172995780000
