location,age,max(total_cases),max(total_deaths),survival
Cook Islands,"",5790,1,99.98272884283247
Bhutan,28.60000,59729,21,99.96484119941736
Saint Pierre and Miquelon,"",2779,1,99.96401583303347
Faeroe Islands,"",34658,28,99.91921057187373
Burundi,17.50000,42836,38,99.91128956952096
Iceland,37.30000,197707,179,99.90946198161926
Tonga,22.30000,12301,12,99.90244695553207
Singapore,42.40000,1444068,1413,99.9021514222322
Cayman Islands,"",27594,29,99.89490468942523
New Zealand,37.90000,1422178,1602,99.88735587247166
Palau,"",5237,6,99.88543059003247
Australia,37.90000,8254847,10040,99.87837448713465
Vanuatu,23.10000,11470,14,99.87794245858763
Brunei,32.40000,172280,225,99.869398653355
South Korea,43.40000,18298341,24474,99.86625016989244
Maldives,30.60000,182720,306,99.83253064798599
Greenland,"",11971,21,99.82457605880879
Qatar,31.90000,385830,679,99.82401575823549
Taiwan,42.20000,3870528,6956,99.82028291747275
Samoa,22.00000,14187,28,99.80263621625431
Cyprus,37.30000,530510,1079,99.79661080846732
Denmark,42.30000,3161148,6438,99.79633981072699
Mongolia,28.60000,928586,2116,99.77212665278175
Norway,39.70000,1450730,3415,99.7646012697056
Bahrain,32.40000,636294,1498,99.76457423769516
United Arab Emirates,34.00000,951196,2319,99.75620166611297
Anguilla,"",3476,9,99.74108170310701
Israel,30.60000,4137293,10852,99.73770288930467
Netherlands,43.20000,8176101,22444,99.72549262784302
Isle of Man,"",36998,110,99.70268663170982
Macao,39.20000,621,2,99.6779388083736
Japan,48.20000,9639819,31416,99.67410176477381
Andorra,"",44177,153,99.65366593476244
Bonaire Sint Eustatius and Saba,"",10320,37,99.64147286821705
Laos,24.40000,210348,757,99.64012018179398
Switzerland,43.10000,3805774,13842,99.63628949065289
Seychelles,36.20000,45000,167,99.6288888888889
Vietnam,32.60000,10751227,43089,99.5992178381128
Kuwait,33.70000,635868,2555,99.59818704510998
Kiribati,23.20000,3215,13,99.59564541213064
Luxembourg,39.70000,267707,1094,99.59134426817378
Finland,42.80000,1145610,4875,99.5744625134208
Mauritius,37.40000,227442,1000,99.56032746810176
Estonia,42.70000,581560,2599,99.55309856248711
Monaco,"",13197,59,99.55292869591574
Austria,44.40000,4471152,20057,99.55141314811038
Dominica,"",14852,68,99.54214920549421
France,42.00000,32035379,150012,99.53173021614634
Ireland,38.70000,1600614,7499,99.53149228983378
Liechtenstein,"",18141,85,99.53144810098672
