location,gdp,rate
Chad,1768.1529999999952,0.9551282051280000
Anguilla,"",0.2535575679170000
Djibouti,2705.40599999997,1.0807291666670000
Comoros,1413.8900000000035,0.4575707154740000
Afghanistan,1803.9869999999796,6.7703549060540000
Cambodia,3645.069999999954,2.1730769230770000
British Virgin Islands,"",0.8516819571870000
Dominica,9673.366999999847,0.8030303030300000
Algeria,13913.838999999818,3.6014285714290000
Argentina,18933.906999999817,205.0630498533720000
Angola,5819.495000000086,7.7700617283950000
Belgium,42658.57600000019,185.3888888888890000
Ecuador,10581.935999999989,24.7132867132870000
Bonaire Sint Eustatius and Saba,"",3.4693877551020000
Albania,11803.430999999902,7.1371087928460000
Benin,2064.23600000002,4.8052434456930000
Bahamas,27717.846999999467,2.2545180722890000
China,15308.711999999816,36.3546798029560000
Curacao,"",3.0223546944860000
Belarus,17167.967000000146,13.0186480186480000
Chile,22767.037000000182,57.9290681502090000
Cayman Islands,49903.02899999935,3.1011560693640000
Croatia,22669.796999999908,16.8502139800290000
Burundi,702.224999999989,7.3136645962730000
Andorra,"",3.3570391872280000
Bolivia,6885.828999999931,34.9275147928990000
Cuba,"",18.6924528301890000
Czechia,32605.905999999704,81.6187766714080000
Central African Republic,661.2399999999934,7.8830409356730000
Denmark,46682.51500000044,77.3071528751750000
Bangladesh,3523.9840000000395,32.0118343195270000
Barbados,16978.067999999974,1.9747399702820000
Congo,4881.405999999965,1.8027314112290000
Bhutan,8708.597000000054,3.0105124835740000
Cape Verde,6222.55399999991,2.2325227963530000
Cyprus,32415.13199999955,17.5458823529410000
Cote d'Ivoire,3601.006000000042,4.3303030303030000
Aruba,35973.78099999969,1.7526395173450000
Azerbaijan,15847.418999999869,10.9563380281690000
Armenia,8787.580000000062,6.2329545454550000
Brunei,71809.25100000048,10.3506311360450000
Canada,44017.59099999894,78.5178791615290000
Cook Islands,"",0.8553846153850000
Belize,7824.361999999958,2.2308823529410000
Brazil,14103.45199999974,405.5776836158190000
Antigua and Barbuda,21490.942999999974,0.6695278969960000
Dominican Republic,14600.86099999972,10.9076246334310000
Botswana,15807.373999999867,56.9534246575340000
Bosnia and Herzegovina,11713.894999999746,7.7721893491120000
Australia,44648.7100000007,244.4504881450490000
Cameroon,3364.9259999999804,24.7263427109970000
Bulgaria,18563.307000000026,18.0218023255810000
Austria,45436.685999999965,85.2703062583220000
Costa Rica,15524.994999999759,26.3594202898550000
Burkina Faso,1703.1019999999749,1.5112781954890000
Bermuda,50669.314999999944,1.0407854984890000
Bahrain,43290.70499999904,11.5437853107340000
Colombia,13254.948999999779,52.3161764705880000
Democratic Republic of Congo,808.1329999999974,6.7484939759040000
Kiribati,1981.1319999999903,1.3307984790870000
Guyana,7435.0470000000205,1.7648809523810000
Eritrea,1510.4590000000135,0.6409090909090000
Fiji,8702.974999999864,3.8385093167700000
Iraq,15663.98599999971,25.9903846153850000
Germany,45229.24499999982,664.3413098236780000
Jordan,8337.490000000154,34.4156545209180000
France,38605.67099999996,686.4849726775960000
Greece,24574.381999999627,74.0147492625370000
Equatorial Guinea,22604.872999999756,12.6811594202900000
Lesotho,2851.1529999999743,13.6857707509880000
Finland,40585.721000000616,62.5940959409590000
Ghana,4227.629999999922,3.8606431852990000
India,6426.673999999969,896.5108225108230000
Kuwait,65530.537000000375,9.8196022727270000
Isle of Man,"",4.9175572519080000
Gabon,16562.41300000019,2.8652373660030000
Italy,35220.083999999624,317.7200557103060000
Lithuania,29524.265000000345,22.4664723032070000
Iran,19082.619999999642,92.1614678899080000
Ireland,67335.29299999938,63.3416422287390000
Liechtenstein,"",0.4780821917810000
Laos,6397.36000000004,5.3410641200550000
Hong Kong,56054.92000000117,99.9883116883120000
Iceland,46482.9579999998,10.2320441988950000
Israel,33132.32000000024,348.5601719197710000
Faeroe Islands,"",2.0669515669520000
French Polynesia,"",8.7465034965030000
Gibraltar,"",0.3856132075470000
Estonia,29481.252000000266,11.7194444444440000
Georgia,9745.078999999925,37.2277227722770000
Indonesia,11188.744000000072,90.3882681564250000
Guatemala,7423.808000000123,7.1406619385340000
Libya,17881.508999999733,8.4106351550960000
Grenada,13593.877000000188,1.3666666666670000
Liberia,752.7879999999901,0.6783004552350000
Honduras,4541.794999999951,18.2319660537480000
Ethiopia,1729.9269999999867,7.9160305343510000
Eswatini,7738.974999999908,2.5576323987540000
Jamaica,8193.571000000184,2.9112426035500000
Latvia,25063.846000000478,16.6787204450630000
Guinea,1998.925999999982,0.8005997001500000
Kyrgyzstan,3393.4739999999615,94.3032786885250000
Gambia,1561.7669999999937,1.1646825396830000
Kenya,2993.0279999999693,5.7500000000000000
Lebanon,13367.564999999986,15.1123595505620000
Japan,39002.22300000032,141.1975642760490000
Falkland Islands,"",0.9557291666670000
Greenland,"",1.1743666169900000
Haiti,1653.1729999999725,1.1032934131740000
Guinea-Bissau,1548.6750000000243,0.2846497764530000
Egypt,10550.20600000008,7.2010443864230000
El Salvador,7292.457999999934,18.1879483500720000
Kazakhstan,24055.587999999814,133.0402414486920000
Hungary,26777.56100000041,64.5372492836680000
Paraguay,8827.00999999984,37.6026200873360000
Russia,24765.953999999918,272.5215633423180000
Macao,104861.85100000004,0.0993303571430000
Senegal,2470.5800000000286,3.4234592445330000
Philippines,7599.188000000067,54.2835195530730000
Malaysia,26808.164000000495,43.3844155844160000
Singapore,85535.38300000098,50.5824742268040000
Malawi,1095.0420000000095,4.4610169491530000
Maldives,15183.616000000244,4.0952380952380000
Rwanda,1854.2109999999705,6.1563126252510000
Saint Helena,"",""
Palau,13240.404999999917,2.3333333333330000
Montserrat,"",0.2043422733080000
San Marino,56861.46999999932,0.7188872620790000
Qatar,116935.5999999987,6.1581259150810000
Madagascar,1416.4399999999696,3.5581395348840000
New Caledonia,"",8.4249291784700000
Myanmar,5591.597000000047,14.9430379746840000
Nicaragua,5321.444000000051,0.9230769230770000
Peru,12236.706000000097,86.6909620991250000
Sierra Leone,1390.3000000000216,0.4266666666670000
Malta,36513.32299999969,2.2270916334660000
Sao Tome and Principe,3052.713999999998,0.4968847352020000
Marshall Islands,3819.2020000000384,0.0210696920580000
Nigeria,5338.453999999935,9.2880844645550000
Norway,64800.056999998524,36.6185133239830000
Saint Pierre and Miquelon,"",0.3842975206610000
Mauritania,3597.6329999999466,1.8237951807230000
Niger,926.0,0.4574468085110000
Monaco,"",0.7365439093480000
Morocco,7485.013000000043,23.1074856046070000
Panama,22267.037000000168,28.7074235807860000
Saint Kitts and Nevis,24654.38500000015,0.3644716692190000
Oman,37960.708999999595,8.6199158485270000
North Korea,"",""
Palestine,4449.898000000037,52.3379310344830000
Mexico,17336.46900000014,159.0376266280750000
Montenegro,16409.288000000186,4.4848484848480000
Saint Vincent and the Grenadines,10727.14599999988,3.9868228404100000
Mongolia,11840.846000000072,40.9266666666670000
Saudi Arabia,49045.41099999916,8.6162790697670000
Namibia,9541.808000000137,5.2690863579470000
Saint Lucia,12951.838999999829,1.0633284241530000
Seychelles,26382.287000000215,3.0911808669660000
North Macedonia,13111.213999999825,3.3361945636620000
Samoa,6021.5570000000225,2.2251908396950000
Mozambique,1136.1030000000026,7.6342592592590000
Luxembourg,94277.96500000205,7.9093525179860000
New Zealand,36085.842999999426,53.6024258760110000
Poland,27216.44500000023,83.0821325648410000
Micronesia (country),3299.4639999999754,0.0470347648260000
Portugal,27936.896000000343,110.4014285714290000
Papua New Guinea,3823.1940000000186,2.0993197278910000
Romania,23313.198999999793,56.6827195467420000
Nepal,2442.8040000000033,13.8457300275480000
Serbia,14048.88099999976,53.0881502890170000
Pakistan,5034.708000000056,109.7545454545450000
Mauritius,20292.744999999668,44.2566371681420000
Moldova,5189.972000000045,8.9970972423800000
Mali,2014.3060000000298,1.8580152671760000
Netherlands,48472.54500000104,535.0196905766530000
Yemen,1479.1470000000133,0.4289985052320000
Sweden,46949.282999999836,191.9682320441990000
Tonga,5425.621000000001,5.4736842105260000
Turkey,25129.340999999607,159.9381294964030000
Sudan,4466.507000000089,1.8110014104370000
Turks and Caicos Islands,"",0.8274809160310000
Sri Lanka,11669.076999999768,19.3628620102210000
Taiwan,"",153.3341260404280000
Togo,1429.8130000000015,1.5022488755620000
Slovakia,30155.151999999765,40.0337078651690000
Vatican,"",0.0316041581740000
United States,54225.44600000037,1930.1115760111580000
Somalia,"",1.5699558173780000
Tajikistan,2896.912999999978,22.6111111111110000
Suriname,13767.119000000215,2.0830860534120000
Spain,34272.35999999961,531.0056980056980000
Thailand,16277.671000000082,58.2086419753090000
Ukraine,7894.393000000099,64.0426742532010000
Venezuela,16745.021999999906,6.5355029585800000
South Korea,35938.374000000746,794.5230179028130000
Uruguay,20551.409000000058,19.8425655976680000
Zimbabwe,1899.7749999999785,14.5562599049130000
Tunisia,10849.297000000095,28.9158200290280000
Syria,"",1.5184563758390000
Trinidad and Tobago,28763.0709999998,1.8569321533920000
Uganda,1697.707000000001,41.0076923076920000
Wallis and Futuna,"",0.3154362416110000
Switzerland,57410.16600000065,126.7167138810200000
Zambia,3689.251000000037,8.5199386503070000
South Sudan,1569.8880000000174,0.7871674491390000
United Arab Emirates,67293.48300000085,8.9599198396790000
Timor,6570.101999999961,1.0230769230770000
Uzbekistan,6253.104000000002,2.1767304860090000
Slovenia,31400.83999999987,33.3791130185980000
Tanzania,2683.3040000000033,43.7176258992810000
Solomon Islands,2205.9229999999725,5.1306532663320000
South Africa,12294.876000000126,58.5394126738790000
Vanuatu,2921.9089999999887,1.0750436300170000
United Kingdom,39753.243999999875,289.7333333333330000
Vietnam,6171.883999999947,583.0706033376120000
